ID,City,Year of birth,Gender,Education Level,Education success,Tollo consumption,Frequency tollo consumption,Sharks in Peru,Species_sharks_1,Species_sharks_2,Species_sharks_3,Shark consumption,Shark_consumption_1,Shark_consumption_2,Shark_consumption_3,
191,TRU,1975,2.00,4,1,1.00,5.00,2.00,N/A,N/A,N/A,2,N/A,N/A,N/A,
192,TRU,1970,2.00,2,1,1.00,2.00,2.00,N/A,N/A,N/A,3,N/A,N/A,N/A,
193,TRU,1971,1.00,4,1,1.00,1.00,1.00,tollo,diamante,N/A,1,tollo,N/A,N/A,
194,TRU,1950,2.00,2,1,1.00,2.00,3.00,N/A,N/A,N/A,3,N/A,N/A,N/A,
195,TRU,1991,1.00,4,1,1.00,2.00,2.00,N/A,N/A,N/A,3,N/A,N/A,N/A,
196,TRU,1995,1.00,2,1,1.00,5.00,2.00,N/A,N/A,N/A,3,N/A,N/A,N/A,
197,TRU,1953,2.00,2,2,1.00,1.00,1.00,N/A,N/A,N/A,3,N/A,N/A,N/A,
198,TRU,1965,2.00,4,1,1.00,2.00,3.00,N/A,N/A,N/A,3,N/A,N/A,N/A,
199,TRU,1952,1.00,2,1,1.00,3.00,1.00,N/A,N/A,N/A,3,N/A,N/A,N/A,
200,TRU,1960,1.00,4,1,1.00,2.00,1.00,pez martillo,N/A,N/A,2,N/A,N/A,N/A,
201,TRU,1990.00,1.00,2,1,3.00,N/A,1.00,no sabe,N/A,N/A,3,N/A,N/A,N/A,
202,TRU,1966,1.00,3,1,1.00,4.00,3.00,N/A,N/A,N/A,3,N/A,N/A,N/A,
203,TRU,1992,2.00,4,2,1.00,5.00,2.00,N/A,N/A,N/A,3,N/A,N/A,N/A,
204,TRU,1963,2.00,4,1,1.00,2.00,1.00,no sabe,N/A,N/A,3,N/A,N/A,N/A,
205,TRU,1978,1.00,3,1,1.00,4.00,1.00,tiburon azul,N/A,N/A,3,N/A,N/A,N/A,
206,PIS,1924.00,2.00,3,1,3.00,N/A,3.00,N/A,N/A,N/A,3,N/A,N/A,N/A,
207,PIS,1980.00,2.00,3,1,3.00,N/A,3.00,N/A,N/A,N/A,3,N/A,N/A,N/A,
208,PIS,1964,2.00,2,1,1.00,3.00,2.00,N/A,N/A,N/A,2,N/A,N/A,N/A,
209,PIS,1985.00,2.00,2,1,3.00,N/A,3.00,N/A,N/A,N/A,3,N/A,N/A,N/A,
210,PIS,1989.00,2.00,3,2,2.00,N/A,3.00,N/A,N/A,N/A,3,N/A,N/A,N/A,
211,PIS,1984,2.00,3,2,1.00,5.00,2.00,N/A,N/A,N/A,2,N/A,N/A,N/A,
212,PIS,1964,1.00,2,1,1.00,5.00,1.00,tollo,N/A,N/A,1,tollo,N/A,N/A,
213,PIS,1973.00,2.00,3,1,3.00,N/A,2.00,N/A,N/A,N/A,3,N/A,N/A,N/A,
214,PIS,1987,2.00,2,1,1.00,5.00,2.00,N/A,N/A,N/A,2,N/A,N/A,N/A,
215,PIS,1972,1.00,2,1,1.00,3.00,1.00,tollo,N/A,N/A,1,tollo,N/A,N/A,
216,PIS,1989,1.00,2,2,1.00,4.00,1.00,N/A,N/A,N/A,3,N/A,N/A,N/A,
217,PIS,1990.00,2.00,3,1,3.00,N/A,2.00,N/A,N/A,N/A,2,N/A,N/A,N/A,
218,PIS,1968,1.00,3,1,1.00,5.00,1.00,tollo,pez martillo,N/A,1,tollo,N/A,N/A,
219,PIS,1997,2.00,3,1,1.00,5.00,1.00,tollo,N/A,N/A,1,tollo,N/A,N/A,
220,PIS,1966,2.00,3,1,1.00,6.00,1.00,N/A,N/A,N/A,2,N/A,N/A,N/A,
221,PIS,1968,1.00,2,1,1.00,4.00,2.00,N/A,N/A,N/A,1,tollo,N/A,N/A,
222,PIS,1976,2.00,4,2,1.00,4.00,2.00,N/A,N/A,N/A,2,N/A,N/A,N/A,
223,PIS,1969.00,2.00,4,1,2.00,N/A,1.00,N/A,N/A,N/A,1,N/A,N/A,N/A,
224,PIS,1987.00,2.00,3,1,2.00,N/A,2.00,N/A,N/A,N/A,2,N/A,N/A,N/A,
225,PIS,1970.00,2.00,2,2,2.00,0.00,2.00,N/A,N/A,N/A,2,N/A,N/A,N/A,
226,PIS,1997.00,2.00,4,2,2.00,N/A,1.00,N/A,N/A,N/A,2,N/A,N/A,N/A,
227,PIS,1991.00,2.00,4,2,3.00,N/A,2.00,N/A,N/A,N/A,2,N/A,N/A,N/A,
228,PIS,1988,2.00,4,2,1.00,5.00,2.00,N/A,N/A,N/A,2,N/A,N/A,N/A,
229,PIS,1965,2.00,4,1,1.00,4.00,1.00,tollo,N/A,N/A,1,N/A,N/A,N/A,
230,PIS,1997,2.00,4,2,1.00,2.00,2.00,N/A,N/A,N/A,3,N/A,N/A,N/A,
231,PIS,1966,2.00,2,1,1.00,5.00,2.00,N/A,N/A,N/A,3,N/A,N/A,N/A,
232,PIS,1991.00,1.00,2,1,3.00,N/A,2.00,N/A,N/A,N/A,3,N/A,N/A,N/A,
233,PIS,1953,1.00,2,1,1.00,3.00,2.00,N/A,N/A,N/A,2,N/A,N/A,N/A,
234,PIS,1972,1.00,3,1,1.00,5.00,3.00,N/A,N/A,N/A,3,N/A,N/A,N/A,
235,PIS,1951.00,1.00,1,1,3.00,N/A,2.00,N/A,N/A,N/A,2,N/A,N/A,N/A,
236,PIS,1993.00,2.00,3,1,3.00,N/A,3.00,N/A,N/A,N/A,3,N/A,N/A,N/A,
237,PIS,1977.00,1.00,2,1,2.00,N/A,1.00,N/A,N/A,N/A,3,N/A,N/A,N/A,
238,PIS,1994.00,2.00,3,1,3.00,N/A,3.00,N/A,N/A,N/A,3,N/A,N/A,N/A,
239,PIS,1956,2.00,2,1,1.00,5.00,3.00,N/A,N/A,N/A,3,N/A,N/A,N/A,
240,PIS,1966.00,2.00,2,1,2.00,N/A,3.00,N/A,N/A,N/A,3,N/A,N/A,N/A,
241,PIS,1964,1.00,3,2,1.00,5.00,3.00,N/A,N/A,N/A,3,N/A,N/A,N/A,
242,PIS,1967,1.00,2,1,1.00,1.00,1.00,diamante,azul,N/A,3,N/A,N/A,N/A,
243,PIS,1971.00,2.00,4,1,3.00,N/A,1.00,blanco,N/A,N/A,3,N/A,N/A,N/A,
244,PIS,1983.00,1.00,3,1,3.00,N/A,3.00,N/A,N/A,N/A,3,N/A,N/A,N/A,
245,PIS,1986,2.00,3,1,1.00,5.00,3.00,N/A,N/A,N/A,3,N/A,N/A,N/A,
246,PIS,1997.00,2.00,3,1,3.00,N/A,2.00,N/A,N/A,N/A,2,N/A,N/A,N/A,
247,PIS,1973.00,2.00,2,1,2.00,N/A,2.00,N/A,N/A,N/A,2,N/A,N/A,N/A,
248,PIS,1989.00,2.00,2,1,2.00,N/A,2.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
249,PIS,1962,1.00,3,1,1.00,5.00,2.00,N/A,N/A,N/A,3,N/A,N/A,N/A,
250,PIS,1984.00,1.00,2,1,2.00,0.00,2.00,N/A,N/A,N/A,2,N/A,N/A,N/A,
251,PIS,1975.00,1.00,2,1,3.00,N/A,1.00,pulpo,raya,caracol,1,N/A,N/A,N/A,
252,PIS,1997.00,1.00,2,1,3.00,N/A,2.00,N/A,N/A,N/A,2,N/A,N/A,N/A,
253,PIS,1998.00,1.00,4,2,2.00,N/A,1.00,N/A,N/A,N/A,1,N/A,N/A,N/A,
254,PIS,1983.00,2.00,2,1,2.00,0.00,2.00,N/A,N/A,N/A,2,N/A,N/A,N/A,
255,PIS,1996,N/A,3,2,N/A,N/A,1.00,martillo,tigre,diablo,1,diablo,N/A,N/A,
256,PIS,1968,1.00,3,2,1.00,4.00,1.00,tiburon pequeños,N/A,N/A,1,tollo,N/A,N/A,
257,PIS,1985,2.00,2,1,1.00,5.00,1.00,martillo,tigre,azul,3,N/A,N/A,N/A,
258,PIS,1950,N/A,1,1,1.00,2.00,1.00,tollo,gato,N/A,3,N/A,N/A,N/A,
